iter:1, best-ub:1918414.37, best-lb:-326155.86, gap:117.0013%, time:0.00, ub:1918414.37, lb:-326155.86
iter:2, best-ub:1434672.99, best-lb:-62202.86, gap:104.3357%, time:0.01, ub:1434672.99, lb:-62202.86
iter:3, best-ub:1299494.79, best-lb:-62202.86, gap:104.7867%, time:0.01, ub:1299494.79, lb:-351552.45
iter:4, best-ub:914861.27, best-lb:259567.35, gap:71.6277%, time:0.01, ub:914861.27, lb:259567.35
iter:5, best-ub:914861.27, best-lb:324903.02, gap:64.4861%, time:0.01, ub:938207.04, lb:324903.02
iter:6, best-ub:914861.27, best-lb:475680.89, gap:48.0051%, time:0.01, ub:1201208.27, lb:475680.89
iter:7, best-ub:914457.64, best-lb:478816.43, gap:47.6393%, time:0.01, ub:914457.64, lb:478816.43
iter:8, best-ub:875767.85, best-lb:479174.00, gap:45.2853%, time:0.01, ub:875767.85, lb:479174.00
iter:9, best-ub:867303.26, best-lb:479174.00, gap:44.7513%, time:0.01, ub:867303.26, lb:458014.37
iter:10, best-ub:867303.26, best-lb:479174.00, gap:44.7513%, time:0.01, ub:896288.71, lb:470149.71
iter:11, best-ub:867303.26, best-lb:507759.49, gap:41.4554%, time:0.01, ub:886625.22, lb:507759.49
iter:12, best-ub:867303.26, best-lb:507759.49, gap:41.4554%, time:0.01, ub:1003582.15, lb:501364.90
iter:13, best-ub:759391.99, best-lb:522032.48, gap:31.2565%, time:0.01, ub:759391.99, lb:522032.48
iter:14, best-ub:759391.99, best-lb:621490.72, gap:18.1594%, time:0.01, ub:1913795.42, lb:621490.72
iter:15, best-ub:717686.07, best-lb:596174.04, gap:16.9311%, time:0.01, ub:717686.07, lb:596174.04
iter:16, best-ub:717686.07, best-lb:662979.19, gap:7.6227%, time:0.01, ub:870095.25, lb:662979.19
iter:17, best-ub:717686.07, best-lb:682298.52, gap:4.9308%, time:0.01, ub:824006.46, lb:682298.52
iter:18, best-ub:717686.07, best-lb:682298.52, gap:4.9308%, time:0.01, ub:2715406.78, lb:677413.01
iter:19, best-ub:717686.07, best-lb:683121.53, gap:4.8161%, time:0.01, ub:717686.07, lb:683121.53
iter:20, best-ub:717686.07, best-lb:694591.72, gap:3.2179%, time:0.01, ub:2715406.78, lb:694591.72
iter:21, best-ub:717686.07, best-lb:694637.67, gap:3.2115%, time:0.01, ub:824006.46, lb:694637.67
iter:22, best-ub:717686.07, best-lb:694637.67, gap:3.2115%, time:0.01, ub:1098640.13, lb:693619.87
iter:23, best-ub:717686.07, best-lb:697052.77, gap:2.8750%, time:0.01, ub:717686.07, lb:697052.77
iter:24, best-ub:717686.07, best-lb:701518.05, gap:2.2528%, time:0.01, ub:2715406.78, lb:701518.05
iter:25, best-ub:717686.07, best-lb:703658.01, gap:1.9546%, time:0.01, ub:717686.07, lb:703658.01
iter:26, best-ub:717686.07, best-lb:703658.01, gap:1.9546%, time:0.01, ub:1098640.13, lb:703454.30
iter:27, best-ub:717686.07, best-lb:704452.69, gap:1.8439%, time:0.02, ub:717686.07, lb:704452.69
iter:28, best-ub:717686.07, best-lb:706663.35, gap:1.5359%, time:0.02, ub:775050.12, lb:706663.35
iter:29, best-ub:717686.07, best-lb:706663.35, gap:1.5359%, time:0.02, ub:797894.20, lb:704845.48
iter:30, best-ub:717686.07, best-lb:706663.35, gap:1.5359%, time:0.02, ub:775050.12, lb:704215.72
iter:31, best-ub:717686.07, best-lb:706786.38, gap:1.5187%, time:0.02, ub:797894.20, lb:706786.38
iter:32, best-ub:717686.07, best-lb:706786.38, gap:1.5187%, time:0.02, ub:775050.12, lb:706428.56
iter:33, best-ub:717686.07, best-lb:709373.35, gap:1.1583%, time:0.02, ub:717686.07, lb:709373.35
iter:34, best-ub:717686.07, best-lb:710155.10, gap:1.0493%, time:0.02, ub:775050.12, lb:710155.10
iter:35, best-ub:717686.07, best-lb:710155.10, gap:1.0493%, time:0.02, ub:2715406.78, lb:709933.53
iter:36, best-ub:717686.07, best-lb:710543.49, gap:0.9952%, time:0.02, ub:775050.12, lb:710543.49
iter:37, best-ub:717686.07, best-lb:710543.49, gap:0.9952%, time:0.02, ub:717686.07, lb:710333.49
iter:38, best-ub:717686.07, best-lb:712006.24, gap:0.7914%, time:0.02, ub:775050.12, lb:712006.24
iter:39, best-ub:717686.07, best-lb:712750.96, gap:0.6876%, time:0.02, ub:1098640.13, lb:712750.96
iter:40, best-ub:717686.07, best-lb:712750.96, gap:0.6876%, time:0.02, ub:775050.12, lb:712619.48
iter:41, best-ub:717686.07, best-lb:712750.96, gap:0.6876%, time:0.02, ub:717686.07, lb:712000.50
iter:42, best-ub:717686.07, best-lb:712750.96, gap:0.6876%, time:0.02, ub:775050.12, lb:712580.25
iter:43, best-ub:717686.07, best-lb:713845.46, gap:0.5351%, time:0.02, ub:717686.07, lb:713845.46
iter:44, best-ub:717686.07, best-lb:713845.46, gap:0.5351%, time:0.02, ub:775050.12, lb:713554.39
iter:45, best-ub:717686.07, best-lb:714245.64, gap:0.4794%, time:0.02, ub:775050.12, lb:714245.64
iter:46, best-ub:717686.07, best-lb:714650.40, gap:0.4230%, time:0.02, ub:775050.12, lb:714650.40
iter:47, best-ub:717686.07, best-lb:714821.25, gap:0.3992%, time:0.02, ub:717686.07, lb:714821.25
iter:48, best-ub:717686.07, best-lb:714821.25, gap:0.3992%, time:0.02, ub:775050.12, lb:714683.61
iter:49, best-ub:717686.07, best-lb:714905.75, gap:0.3874%, time:0.02, ub:717686.07, lb:714905.75
iter:50, best-ub:717686.07, best-lb:714905.75, gap:0.3874%, time:0.02, ub:775050.12, lb:714899.15
iter:51, best-ub:717686.07, best-lb:715452.89, gap:0.3112%, time:0.02, ub:775050.12, lb:715452.89
iter:52, best-ub:717686.07, best-lb:715659.43, gap:0.2824%, time:0.02, ub:717686.07, lb:715659.43
iter:53, best-ub:717686.07, best-lb:715659.43, gap:0.2824%, time:0.02, ub:775050.12, lb:715394.55
iter:54, best-ub:717686.07, best-lb:715771.91, gap:0.2667%, time:0.03, ub:717686.07, lb:715771.91
iter:55, best-ub:717686.07, best-lb:715771.91, gap:0.2667%, time:0.03, ub:775050.12, lb:715571.00
iter:56, best-ub:717686.07, best-lb:716061.10, gap:0.2264%, time:0.03, ub:775050.12, lb:716061.10
iter:57, best-ub:717686.07, best-lb:716145.52, gap:0.2147%, time:0.03, ub:717686.07, lb:716145.52
iter:58, best-ub:717686.07, best-lb:716145.52, gap:0.2147%, time:0.03, ub:775050.12, lb:716056.64
iter:59, best-ub:717686.07, best-lb:716360.47, gap:0.1847%, time:0.03, ub:717686.07, lb:716360.47
iter:60, best-ub:717686.07, best-lb:716360.47, gap:0.1847%, time:0.03, ub:775050.12, lb:716073.68
iter:61, best-ub:717686.07, best-lb:716506.65, gap:0.1643%, time:0.03, ub:775050.12, lb:716506.65
iter:62, best-ub:717686.07, best-lb:716596.01, gap:0.1519%, time:0.03, ub:717686.07, lb:716596.01
iter:63, best-ub:717686.07, best-lb:716596.01, gap:0.1519%, time:0.03, ub:775050.12, lb:716437.55
iter:64, best-ub:717686.07, best-lb:716596.01, gap:0.1519%, time:0.03, ub:797894.20, lb:716559.74
iter:65, best-ub:717686.07, best-lb:716596.01, gap:0.1519%, time:0.03, ub:775050.12, lb:716583.12
iter:66, best-ub:717686.07, best-lb:716826.50, gap:0.1198%, time:0.03, ub:775050.12, lb:716826.50
iter:67, best-ub:717686.07, best-lb:716891.00, gap:0.1108%, time:0.03, ub:717686.07, lb:716891.00
iter:68, best-ub:717686.07, best-lb:716891.00, gap:0.1108%, time:0.03, ub:775050.12, lb:716666.04
iter:69, best-ub:717686.07, best-lb:716891.00, gap:0.1108%, time:0.03, ub:717686.07, lb:716881.61
iter:70, best-ub:717686.07, best-lb:716891.00, gap:0.1108%, time:0.03, ub:775050.12, lb:716815.11
iter:71, best-ub:717686.07, best-lb:717026.99, gap:0.0918%, time:0.03, ub:717686.07, lb:717026.99
stop, gap
    12    14    15    16

      312495

   0.435420184637001

33 	 0.00 	 5 	 717686.07 	 717026.99 	 0.04 
