iter:1, best-ub:34235962.18, best-lb:-1723753.83, gap:105.0349%, time:0.01, ub:34235962.18, lb:-1723753.83
iter:2, best-ub:7225320.35, best-lb:159279.23, gap:97.7955%, time:0.01, ub:7225320.35, lb:159279.23
iter:3, best-ub:7225320.35, best-lb:552242.66, gap:92.3568%, time:0.01, ub:7561807.67, lb:552242.66
iter:4, best-ub:4694811.47, best-lb:552242.66, gap:88.2372%, time:0.01, ub:4694811.47, lb:-250353.48
iter:5, best-ub:4283623.67, best-lb:552242.66, gap:87.1080%, time:0.02, ub:4283623.67, lb:397891.84
iter:6, best-ub:4230030.79, best-lb:904254.42, gap:78.6230%, time:0.02, ub:4230030.79, lb:904254.42
iter:7, best-ub:3245088.29, best-lb:1173896.24, gap:63.8254%, time:0.02, ub:3245088.29, lb:1173896.24
iter:8, best-ub:3245088.29, best-lb:1263919.33, gap:61.0513%, time:0.02, ub:3526425.50, lb:1263919.33
iter:9, best-ub:3245088.29, best-lb:1340322.57, gap:58.6969%, time:0.02, ub:3617432.89, lb:1340322.57
iter:10, best-ub:3245088.29, best-lb:1382537.97, gap:57.3960%, time:0.03, ub:3455882.19, lb:1382537.97
iter:11, best-ub:3245088.29, best-lb:1431316.29, gap:55.8928%, time:0.03, ub:3346122.73, lb:1431316.29
iter:12, best-ub:2831903.21, best-lb:1484768.09, gap:47.5700%, time:0.03, ub:2831903.21, lb:1484768.09
iter:13, best-ub:2831903.21, best-lb:1524266.78, gap:46.1752%, time:0.03, ub:3343028.53, lb:1524266.78
iter:14, best-ub:2831903.21, best-lb:1524266.78, gap:46.1752%, time:0.04, ub:3927216.94, lb:1518535.08
iter:15, best-ub:2831903.21, best-lb:1572885.16, gap:44.4584%, time:0.04, ub:3565732.01, lb:1572885.16
iter:16, best-ub:2831903.21, best-lb:1572885.16, gap:44.4584%, time:0.04, ub:3376377.90, lb:1534375.31
iter:17, best-ub:2679461.05, best-lb:1605414.49, gap:40.0844%, time:0.04, ub:2679461.05, lb:1605414.49
iter:18, best-ub:2679461.05, best-lb:1608317.16, gap:39.9761%, time:0.05, ub:3144921.70, lb:1608317.16
iter:19, best-ub:2679461.05, best-lb:1610413.50, gap:39.8979%, time:0.05, ub:3287899.11, lb:1610413.50
iter:20, best-ub:2679461.05, best-lb:1610413.50, gap:39.8979%, time:0.05, ub:3315179.23, lb:1601828.46
iter:21, best-ub:2679461.05, best-lb:1664083.21, gap:37.8949%, time:0.06, ub:3869056.49, lb:1664083.21
iter:22, best-ub:2679461.05, best-lb:1664083.21, gap:37.8949%, time:0.06, ub:3327051.09, lb:1605096.74
iter:23, best-ub:2679461.05, best-lb:1664083.21, gap:37.8949%, time:0.06, ub:2932893.73, lb:1659823.50
iter:24, best-ub:2679461.05, best-lb:1665819.23, gap:37.8301%, time:0.06, ub:3505367.34, lb:1665819.23
iter:25, best-ub:2679461.05, best-lb:1665819.23, gap:37.8301%, time:0.07, ub:3237054.59, lb:1656113.12
iter:26, best-ub:2679461.05, best-lb:1685313.20, gap:37.1025%, time:0.07, ub:4394777.29, lb:1685313.20
iter:27, best-ub:2679461.05, best-lb:1685313.20, gap:37.1025%, time:0.07, ub:3196835.28, lb:1609907.07
iter:28, best-ub:2679461.05, best-lb:1696588.04, gap:36.6817%, time:0.07, ub:3224948.26, lb:1696588.04
