Index	Demand 	EmergCost	FixedCost	Lat	Lon	DistanceFromSource	DisruptionRate (alpha=1)	DisruptionRate (beta=0.1,theta=200)
1	732.26	10000	189600	40.67	73.95	1157.26	0.015540	0.000306 
2	348.54	10000	244500	34.11	118.41	1684.65	0.011482	0.000021 
3	278.37	10000	78700	41.84	87.68	822.77	0.022785	0.001634 
4	163.06	10000	58000	29.77	95.39	327.57	0.054091	0.019439 
5	158.56	10000	49400	40.01	75.13	1080.22	0.016717	0.000451 
6	111.05	10000	189400	32.81	117.14	1610.61	0.011784	0.000031 
7	102.8	10000	25600	42.38	83.1	930.98	0.019754	0.000951 
8	100.69	10000	78800	32.79	96.77	444.74	0.042895	0.010820 
9	98.34	10000	77100	33.54	112.07	1319.23	0.013695	0.000136 
10	93.59	10000	49700	29.46	98.51	516.18	0.037515	0.007570 
11	78.22	10000	259100	37.3	121.85	1891.89	0.010883	0.000007 
12	73.6	10000	54700	39.3	76.61	987.65	0.018466	0.000716 
13	73.13	10000	60800	39.78	86.15	704.01	0.027204	0.002959 
14	72.4	10000	298900	37.79	122.55	1933.56	0.010796	0.000006 
15	63.52	10000	62900	30.33	81.66	494.04	0.039081	0.008456 
16	63.29	10000	66000	39.99	82.99	789.22	0.023903	0.001932 
17	62.81	10000	53500	43.06	87.97	903.97	0.020436	0.001089 
18	61.03	10000	55700	35.11	90.01	348.24	0.051870	0.017530 
19	60.69	10000	123900	38.91	77.02	954.02	0.019208	0.000847 
20	57.43	10000	161400	42.34	71.02	1347.35	0.013445	0.000118 
21	51.63	10000	137900	47.62	122.35	2100.15	0.010525	0.000002 
22	51.53	10000	58500	31.85	106.44	984.88	0.018525	0.000726 
23	50.56	10000	40900	41.48	81.68	912.88	0.020206	0.001041 
24	49.69	10000	69600	30.07	89.93	0.00	0.110000	0.100000 
25	48.84	10000	74400	36.17	86.78	459.09	0.041736	0.010071 
26	46.76	10000	79000	39.77	104.87	1076.98	0.016771	0.000458 
27	46.56	10000	72600	30.3	97.75	467.20	0.041099	0.009671 
28	44.47	10000	59900	35.47	97.51	576.80	0.033645	0.005591 
29	43.73	10000	54900	45.54	122.66	2060.74	0.010579	0.000003 
30	43.51	10000	59200	39.12	94.55	677.96	0.028362	0.003371 
31	42.94	10000	56100	33.79	118.16	1669.80	0.011538	0.000023 
32	40.54	10000	222900	32.2	110.89	1246.22	0.014435	0.000196 
33	39.67	10000	66800	38.64	90.24	592.36	0.032743	0.005172 
34	39.59	10000	50700	35.2	80.83	636.67	0.030358	0.004144 
35	39.4	10000	81300	33.76	84.42	411.47	0.045748	0.012779 
36	39.31	10000	71200	36.74	76.04	922.78	0.019956	0.000991 
37	38.47	10000	96500	35.12	106.62	1030.64	0.017603	0.000578 
38	37.22	10000	85900	37.77	122.22	1915.50	0.010832	0.000006 
39	36.99	10000	177400	40.44	79.98	908.86	0.020309	0.001062 
40	36.94	10000	41200	38.57	121.47	1882.31	0.010904	0.000008 
41	36.84	10000	115800	44.96	93.27	1044.65	0.017342	0.000538 
42	36.73	10000	71700	36.13	95.92	543.32	0.035710	0.006609 
43	36.4	10000	60500	39.14	84.51	697.98	0.027465	0.003050 
44	35.85	10000	61900	25.78	80.21	662.90	0.029066	0.003635 
45	35.42	10000	79200	36.78	119.79	1775.11	0.011182	0.000013 
46	33.58	10000	80300	41.26	96.01	844.51	0.022108	0.001466 
47	33.29	10000	54600	41.66	83.58	875.47	0.021207	0.001255 
48	32.81	10000	48900	42.89	78.86	1076.15	0.016786	0.000460 
49	30.4	10000	46700	37.69	97.34	676.10	0.028447	0.003403 
50	29.37	10000	56700	33.74	117.88	1653.66	0.011602	0.000025 
51	28.81	10000	66700	33.42	111.74	1299.64	0.013881	0.000150 
52	28.11	10000	249800	38.86	104.76	1038.15	0.017462	0.000556 
53	28	10000	102300	27.96	82.48	473.02	0.040650	0.009393 
54	27.52	10000	105700	40.72	74.17	1149.73	0.015645	0.000318 
55	27.22	10000	98500	44.95	93.1	1042.40	0.017383	0.000545 
56	26.91	10000	207400	38.22	85.74	611.73	0.031668	0.004695 
57	26.64	10000	94500	33.84	117.87	1653.23	0.011603	0.000025 
58	26.6	10000	64500	33.53	86.8	301.49	0.057061	0.022147 
59	26.17	10000	249800	32.69	97.13	461.51	0.041544	0.009950 
60	26.12	10000	68600	36.92	76.24	918.43	0.020065	0.001013 
61	25.83	10000	76100	36.21	115.22	1518.33	0.012246	0.000050 
