
-- Random instance No.1 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	168.07	10000	154752	37.73	87.09
2	974.90	10000	142112	46.50	113.67
3	633.36	10000	122376	26.46	71.22
4	666.48	10000	232430	45.83	70.44
5	679.15	10000	195317	46.21	109.10
6	353.38	10000	198331	44.85	96.18
7	113.89	10000	275708	41.34	114.79
8	428.83	10000	237952	49.51	75.30
9	78.76	10000	239292	42.74	86.86
10	673.94	10000	73790	31.25	89.41
11	66.62	10000	70105	33.81	78.37
12	114.94	10000	240917	28.75	111.89
13	343.38	10000	221863	43.51	80.10
14	116.02	10000	263579	46.86	119.91
15	776.77	10000	137021	38.39	118.97
16	82.95	10000	64546	27.35	80.28
17	766.14	10000	108068	49.53	104.47
18	878.76	10000	263749	28.66	110.27
19	226.85	10000	214079	39.98	73.76
20	188.56	10000	295545	30.51	79.35

-- Random instance No.2 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	504.21	10000	134257	38.24	78.90
2	302.95	10000	96337	39.48	116.27
3	656.62	10000	287457	29.41	81.30
4	755.98	10000	97291	37.47	78.96
5	793.99	10000	255951	38.64	87.28
6	438.41	10000	245322	34.56	113.81
7	98.22	10000	82291	49.01	111.99
8	664.76	10000	94187	48.57	101.18
9	236.28	10000	117877	28.26	70.57
10	400.08	10000	141701	43.81	85.86
11	199.86	10000	130646	26.48	110.39
12	723.10	10000	122752	36.28	110.93
13	30.13	10000	190754	30.57	107.94
14	348.06	10000	190737	40.59	119.71
15	708.57	10000	61392	40.22	116.89
16	5.40	10000	258803	32.08	100.84
17	54.95	10000	119368	48.57	73.39
18	392.81	10000	191247	36.01	98.43
19	680.55	10000	292566	44.96	88.92
20	322.23	10000	286635	41.59	113.33

-- Random instance No.3 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	840.35	10000	113761	38.72	70.71
2	631.01	10000	175727	32.46	111.23
3	301.60	10000	182539	32.33	91.38
4	845.48	10000	232151	29.11	87.48
5	530.55	10000	46586	31.04	115.47
6	523.44	10000	167148	49.28	81.43
7	82.55	10000	158873	31.67	116.83
8	900.69	10000	95256	47.63	119.42
9	772.08	10000	266463	38.76	111.93
